"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 03 21:08:58 GMT+05:00 2024","Tue Dec 03 21:08:59 GMT+05:00 2024","1293","","CreateUserParameterizedTest","","CreateUserParameterizedTest","oneParameterEmptyTest[0]","oneParameterEmptyTest[0]","Проверка создания пользователя с одним отсутствующим параметром"
"passed","Tue Dec 03 21:09:41 GMT+05:00 2024","Tue Dec 03 21:09:44 GMT+05:00 2024","3134","","UpdateUserTest","","UpdateUserTest","updateUserWithoutToken","updateUserWithoutToken","Попытка обновить пользователя без авторизации"
"passed","Tue Dec 03 21:09:38 GMT+05:00 2024","Tue Dec 03 21:09:41 GMT+05:00 2024","2687","","LoginTest","","LoginTest","loginTest","loginTest","Успешная авторизация"
"passed","Tue Dec 03 21:09:00 GMT+05:00 2024","Tue Dec 03 21:09:01 GMT+05:00 2024","613","","CreateUserParameterizedTest","","CreateUserParameterizedTest","oneParameterEmptyTest[2]","oneParameterEmptyTest[2]","Проверка создания пользователя с одним отсутствующим параметром"
"passed","Tue Dec 03 21:09:06 GMT+05:00 2024","Tue Dec 03 21:09:17 GMT+05:00 2024","10397","","GetUserOrdersTest","","GetUserOrdersTest","getUserOrderWithoutAuth","getUserOrderWithoutAuth","Попытка получения заказов пользователя без авторизации"
"passed","Tue Dec 03 21:08:37 GMT+05:00 2024","Tue Dec 03 21:08:48 GMT+05:00 2024","10431","","CreateOrderTest","","CreateOrderTest","createOrderWithAuthAndIngredients","createOrderWithAuthAndIngredients","Создание заказа с авторизацией и с ингредиентами"
"passed","Tue Dec 03 21:09:01 GMT+05:00 2024","Tue Dec 03 21:09:04 GMT+05:00 2024","3050","","CreateUserTest","","CreateUserTest","createExistingUserTest","createExistingUserTest","Попытка создания существующего пользователя"
"passed","Tue Dec 03 21:08:48 GMT+05:00 2024","Tue Dec 03 21:08:52 GMT+05:00 2024","4787","","CreateOrderTest","","CreateOrderTest","createOrderWithoutAuth","createOrderWithoutAuth","Создание заказа без авторизации"
"passed","Tue Dec 03 21:09:04 GMT+05:00 2024","Tue Dec 03 21:09:06 GMT+05:00 2024","2386","","CreateUserTest","","CreateUserTest","createUniqueUserTest","createUniqueUserTest","Создание уникального пользователя"
"passed","Tue Dec 03 21:08:59 GMT+05:00 2024","Tue Dec 03 21:09:00 GMT+05:00 2024","1046","","CreateUserParameterizedTest","","CreateUserParameterizedTest","oneParameterEmptyTest[1]","oneParameterEmptyTest[1]","Проверка создания пользователя с одним отсутствующим параметром"
"passed","Tue Dec 03 21:08:52 GMT+05:00 2024","Tue Dec 03 21:08:58 GMT+05:00 2024","5358","","CreateOrderTest","","CreateOrderTest","createOrderWithoutIngredients","createOrderWithoutIngredients","Создание заказа без ингредиентов"
"passed","Tue Dec 03 21:09:34 GMT+05:00 2024","Tue Dec 03 21:09:38 GMT+05:00 2024","4509","","LoginTest","","LoginTest","loginFailedTest","loginFailedTest","Проверка авторизации с неправильным логином или паролем"
"passed","Tue Dec 03 21:09:17 GMT+05:00 2024","Tue Dec 03 21:09:34 GMT+05:00 2024","17263","","GetUserOrdersTest","","GetUserOrdersTest","getUserOrderWithAuth","getUserOrderWithAuth","Получение заказов пользователя с авторизацией"
"passed","Tue Dec 03 21:09:44 GMT+05:00 2024","Tue Dec 03 21:09:47 GMT+05:00 2024","3064","","UpdateUserTest","","UpdateUserTest","updateUser","updateUser","Обновление информации о пользователе"
